seed,arm,phase,epoch,cumulative_timesteps_configured,configured_learning_rate,entropy_mode_configured,entropy_coefficient_recorded,actor_l1_before,actor_l1_after,actor_delta,critic_delta,train_tail_trades,val_trades,val_total_return_fraction,val_max_drawdown_fraction,trade_gate_passed,checkpoint_eligible,eligibility_reason,selection_transport_scalar_do_not_display_as_performance,replay_size_before,replay_size_after,observed_learning_rate,entropy_target,entropy_loss,actor_loss,critic_loss,gradient_update_count,raw_action_mean,raw_action_std,raw_action_min,raw_action_max,hold_rate,dominant_action_rate,thresholded_entries,protected_submissions,protected_rejections,order_families,commission_paid,spread_cost,slippage_cost,financing_cost,margin_train,margin_train_tail,margin_validation
202,N14,normal_training,4,100000,0.0001,fixed_0.2,invalid,8820.984278123826,8820.366775237024,-0.6175028868019581,2978.7119372189045,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
202,N14,normal_training,5,120000,0.0001,fixed_0.2,invalid,8820.366775237024,8819.860815208405,-0.5059600286185741,2389.4419643580914,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
202,N14,normal_training,6,140000,0.0001,fixed_0.2,invalid,8819.860815208405,8819.524808634073,-0.3360065743327141,1915.5072671175003,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
202,N14,normal_training,7,160000,0.0001,fixed_0.2,invalid,8819.524808634073,8819.983617582358,0.4588089482858777,1667.049556285143,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
202,N14,normal_training,8,180000,0.0001,fixed_0.2,invalid,8819.983617582358,8819.402301071212,-0.5813165111467242,1447.39100715518,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
202,N14,normal_training,9,200000,0.0001,fixed_0.2,invalid,8819.402301071212,8819.269660295919,-0.1326407752931118,1254.2465927004814,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
202,N14,normal_training,10,220000,0.0001,fixed_0.2,invalid,8819.269660295919,8819.058869255707,-0.21079104021191597,1165.366175532341,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
202,N14,normal_training,11,240000,0.0001,fixed_0.2,invalid,8819.058869255707,8818.873651852831,-0.18521740287542343,1016.4518156647682,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
202,N14,normal_training,12,260000,0.0001,fixed_0.2,invalid,8818.873651852831,8818.748251448385,-0.125400404445827,1049.4095609784126,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
202,N14,normal_training,13,280000,0.0001,fixed_0.2,invalid,8818.748251448385,8818.720350194722,-0.027901253663003445,1034.3585629463196,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
202,N14,normal_training,14,300000,0.0001,fixed_0.2,invalid,8818.720350194722,8818.554302170873,-0.16604802384972572,843.7216268777847,0,0,0.0,0.0,False,False,trade gate failed: train_tail_trades>=1 and val_trades>=1 not both met,1050112099520001.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
202,EN4_10,warm_start_baseline,0,not_applicable,0.0001,fixed_0.2,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,4,130,not_instrumented,not_instrumented,True,None,baseline gate,1049286634889019.0,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,not_instrumented,source_unavailable,source_unavailable,source_unavailable
