[178/256] 2025-12-18T20:00:00 -        0.6892 -> flat (abstained)
[179/256] 2025-12-19T00:00:00 -        0.6619 -> flat (abstained)
[180/256] 2025-12-19T04:00:00 -        0.6512 -> flat (abstained)
[181/256] 2025-12-19T08:00:00 -        0.6383 -> flat (abstained)
[182/256] 2025-12-19T12:00:00 -        0.6237 -> flat (abstained)
[183/256] 2025-12-19T16:00:00 -        0.6346 -> flat (abstained)
[184/256] 2025-12-19T20:00:00 -        0.6507 -> flat (abstained)
[185/256] 2025-12-20T00:00:00 -        0.6413 -> flat (abstained)
[186/256] 2025-12-20T04:00:00 -        0.6406 -> flat (abstained)
[187/256] 2025-12-20T08:00:00 -        0.6336 -> flat (abstained)
[188/256] 2025-12-20T12:00:00 -        0.6438 -> flat (abstained)
[189/256] 2025-12-20T16:00:00 -        0.6332 -> flat (abstained)
[190/256] 2025-12-20T20:00:00 -        0.6775 -> flat (abstained)
[191/256] 2025-12-21T00:00:00 -        0.6732 -> flat (abstained)
[192/256] 2025-12-21T04:00:00 -        0.6353 -> flat (abstained)
[193/256] 2025-12-21T08:00:00 -        0.6188 -> flat (abstained)
[194/256] 2025-12-21T12:00:00 -        0.6611 -> flat (abstained)
[195/256] 2025-12-21T16:00:00 -        0.6373 -> flat (abstained)
[196/256] 2025-12-21T20:00:00 -        0.6244 -> flat (abstained)
[197/256] 2025-12-22T00:00:00 -        0.6228 -> flat (abstained)
[198/256] 2025-12-22T04:00:00 -        0.6130 -> flat (abstained)
[199/256] 2025-12-22T08:00:00 -        0.6121 -> flat (abstained)
[200/256] 2025-12-22T12:00:00 -        0.6294 -> flat (abstained)
[201/256] 2025-12-22T16:00:00 -        0.6625 -> flat (abstained)
[202/256] 2025-12-22T20:00:00 -        0.6355 -> flat (abstained)
[203/256] 2025-12-23T00:00:00 -        0.6261 -> flat (abstained)
[204/256] 2025-12-23T04:00:00 -        0.6521 -> flat (abstained)
[205/256] 2025-12-23T08:00:00 -        0.6222 -> flat (abstained)
[206/256] 2025-12-23T12:00:00 -        0.6730 -> flat (abstained)
[207/256] 2025-12-23T16:00:00 -        0.6420 -> flat (abstained)
[208/256] 2025-12-23T20:00:00 -        0.6534 -> flat (abstained)
[209/256] 2025-12-24T00:00:00 -        0.6417 -> flat (abstained)
[210/256] 2025-12-24T04:00:00 -        0.6498 -> flat (abstained)
[211/256] 2025-12-24T08:00:00 -        0.6444 -> flat (abstained)
[212/256] 2025-12-24T12:00:00 -        0.6464 -> flat (abstained)
[213/256] 2025-12-24T16:00:00 -        0.6442 -> flat (abstained)
[214/256] 2025-12-24T20:00:00 -        0.6359 -> flat (abstained)
[215/256] 2025-12-25T00:00:00 -        0.6407 -> flat (abstained)
[216/256] 2025-12-25T04:00:00 -        0.6310 -> flat (abstained)
[217/256] 2025-12-25T08:00:00 -        0.6546 -> flat (abstained)
[218/256] 2025-12-25T12:00:00 -        0.6356 -> flat (abstained)
[219/256] 2025-12-25T16:00:00 -        0.6226 -> flat (abstained)
[220/256] 2025-12-25T20:00:00 -        0.5798 -> flat (abstained)
[221/256] 2025-12-26T00:00:00 -        0.6019 -> flat (abstained)
[222/256] 2025-12-26T04:00:00 -        0.6541 -> flat (abstained)
[223/256] 2025-12-26T08:00:00 -        0.6320 -> flat (abstained)
[224/256] 2025-12-26T12:00:00 -        0.6360 -> flat (abstained)
[225/256] 2025-12-26T16:00:00 -        0.6066 -> flat (abstained)
[226/256] 2025-12-26T20:00:00 -        0.6552 -> flat (abstained)
[227/256] 2025-12-27T00:00:00 -        0.6485 -> flat (abstained)
[228/256] 2025-12-27T04:00:00 -        0.6660 -> flat (abstained)
[229/256] 2025-12-27T08:00:00 -        0.6248 -> flat (abstained)
[230/256] 2025-12-27T12:00:00 -        0.6073 -> flat (abstained)
[231/256] 2025-12-27T16:00:00 -        0.6262 -> flat (abstained)
[232/256] 2025-12-27T20:00:00 -        0.6112 -> flat (abstained)
[233/256] 2025-12-28T00:00:00 -        0.6379 -> flat (abstained)
[234/256] 2025-12-28T04:00:00 -        0.6093 -> flat (abstained)
[235/256] 2025-12-28T08:00:00 -        0.6069 -> flat (abstained)
[236/256] 2025-12-28T12:00:00 -        0.5947 -> flat (abstained)
[237/256] 2025-12-28T16:00:00 -        0.6295 -> flat (abstained)
[238/256] 2025-12-28T20:00:00 -        0.6368 -> flat (abstained)
[239/256] 2025-12-29T00:00:00 -        0.6103 -> flat (abstained)
[240/256] 2025-12-29T04:00:00 -        0.6007 -> flat (abstained)
[241/256] 2025-12-29T08:00:00 -        0.6547 -> flat (abstained)
[242/256] 2025-12-29T12:00:00 -        0.6173 -> flat (abstained)
[243/256] 2025-12-29T16:00:00 -        0.6578 -> flat (abstained)
[244/256] 2025-12-29T20:00:00 -        0.6345 -> flat (abstained)
[245/256] 2025-12-30T00:00:00 -        0.6615 -> flat (abstained)
[246/256] 2025-12-30T04:00:00 -        0.6091 -> flat (abstained)
[247/256] 2025-12-30T08:00:00 -        0.6062 -> flat (abstained)
[248/256] 2025-12-30T12:00:00 -        0.6081 -> flat (abstained)
[249/256] 2025-12-30T16:00:00 -        0.6551 -> flat (abstained)
[250/256] 2025-12-30T20:00:00 -        0.6083 -> flat (abstained)
[251/256] 2025-12-31T00:00:00 -        0.6375 -> flat (abstained)
[252/256] 2025-12-31T04:00:00 -        0.6445 -> flat (abstained)
[253/256] 2025-12-31T08:00:00 -        0.6220 -> flat (abstained)
[254/256] 2025-12-31T12:00:00 -        0.6139 -> flat (abstained)
[255/256] 2025-12-31T16:00:00 -        0.6499 -> flat (abstained)
[256/256] 2025-12-31T20:00:00 -        0.6263 -> flat (abstained)
{"out": "/home/harveybc/.local/state/m5phet/wp21-first-layer-20260925/decisions.jsonl", "manifest": "/home/harveybc/.local/state/m5phet/wp21-first-layer-20260925/decisions.manifest.json", "asked": 256, "answered_above_threshold": 0, "abstained": 256, "refused": 0, "lines": 256, "execution_authorized": false}
